instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,1/01/2011,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16
2,1/01/2011,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40
3,1/01/2011,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32
4,1/01/2011,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10,13
5,1/01/2011,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1
6,1/01/2011,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
7,1/01/2011,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2
8,1/01/2011,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2,3
9,1/01/2011,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8
10,1/01/2011,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14
10166,4/03/2012,1,1,3,15,0,0,0,1,0.36,0.3182,0.32,0.5224,82,252,334
10167,4/03/2012,1,1,3,16,0,0,0,1,0.36,0.3182,0.29,0.4925,68,231,299
10168,4/03/2012,1,1,3,17,0,0,0,1,0.34,0.2879,0.31,0.5522,49,214,263
10169,4/03/2012,1,1,3,18,0,0,0,1,0.32,0.2727,0.33,0.6119,20,164,184
10170,4/03/2012,1,1,3,19,0,0,0,1,0.3,0.2576,0.36,0.4925,12,120,132
10171,4/03/2012,1,1,3,20,0,0,0,1,0.28,0.2727,0.38,0.2537,8,80,88
10172,4/03/2012,1,1,3,21,0,0,0,1,0.28,0.2727,0.36,0.2239,9,70,79
10173,4/03/2012,1,1,3,22,0,0,0,1,0.26,0.2424,0.41,0.2537,9,53,62
10174,4/03/2012,1,1,3,23,0,0,0,1,0.26,0.2576,0.41,0.194,2,24,26
